data,cod_artista,fonte,valor_rendimento
2021-4-3,3,TV GLOBO,5.2
2016-5-25,4,SPOTIFY,45.93
2014-2-25,6,TV GLOBO,35.32
2011-1-24,2,SHOWS AO VIVO,20.68
2010-1-15,11,SHOWS AO VIVO,58.48
2010-12-4,7,TV GLOBO,25.29
2016-12-18,13,YOUTUBE,6.77
2015-12-26,9,SHOWS AO VIVO,97.08
2019-10-17,3,TV GLOBO,76.4
2014-11-18,6,YOUTUBE,62.51
2017-12-18,6,TV GLOBO,31.57
2011-9-17,2,SHOWS AO VIVO,27.81
2013-9-25,8,SHOWS AO VIVO,70.64
2017-7-26,7,SONORIZAÇÃO AMBIENTAL,44.97
2021-6-21,5,SPOTIFY,65.37
2020-1-21,2,SPOTIFY,81.81
2012-12-16,4,SPOTIFY,9.15
2021-3-24,8,SPOTIFY,74.35
2012-1-23,10,SPOTIFY,68.57
2011-2-13,13,SPOTIFY,29.42
2011-1-19,9,SHOWS AO VIVO,11.75
2014-6-7,4,SHOWS AO VIVO,11.86
2017-5-16,3,TV GLOBO,3.94
2013-4-26,13,SHOWS AO VIVO,37.25
2019-2-6,13,SHOWS AO VIVO,43.3
2015-6-19,7,YOUTUBE,67.39
2016-3-20,12,SPOTIFY,55.73
2012-5-28,9,RÁDIOS AM/FM,22.28
2012-3-2,8,SPOTIFY,5.59
2018-12-3,1,YOUTUBE,30.71
2017-11-9,13,SPOTIFY,3.71
2013-5-17,6,SPOTIFY,61.65
2013-9-8,10,TV GLOBO,83.57
2013-9-25,6,SPOTIFY,26.92
2014-10-27,11,YOUTUBE,74.94
2014-11-12,4,RÁDIOS AM/FM,57.26
2011-7-14,8,TV GLOBO,49.28
2015-3-17,3,RÁDIOS AM/FM,16.23
2011-1-7,11,SONORIZAÇÃO AMBIENTAL,18.86
2014-7-2,2,SHOWS AO VIVO,18.65
2021-1-22,7,SHOWS AO VIVO,37.49
2012-3-24,12,SPOTIFY,23.29
2014-5-14,7,RÁDIOS AM/FM,85.65
2017-3-26,2,SHOWS AO VIVO,78.58
2016-7-14,6,SHOWS AO VIVO,58.86
2010-11-11,1,YOUTUBE,93.29
2016-11-13,2,SPOTIFY,43.4
2018-4-23,5,TV GLOBO,58.71
2020-1-12,5,SPOTIFY,50.87
2012-6-26,13,YOUTUBE,39.01
2013-1-1,3,RÁDIOS AM/FM,59.93
2020-9-16,3,RÁDIOS AM/FM,73.82
2021-6-6,6,RÁDIOS AM/FM,24.59
2011-7-11,7,SPOTIFY,44.08
2016-1-21,13,SPOTIFY,48.61
2011-3-10,6,SHOWS AO VIVO,15.42
2013-9-23,12,TV GLOBO,96.81
2013-10-8,7,SHOWS AO VIVO,93.8
2015-10-14,4,SPOTIFY,77.53
2011-12-13,8,SHOWS AO VIVO,16.89
2019-10-6,13,SHOWS AO VIVO,66.32
2011-2-7,8,RÁDIOS AM/FM,89.62
2010-6-6,3,SHOWS AO VIVO,20.52
2018-6-17,4,YOUTUBE,5.82
2017-7-14,6,SHOWS AO VIVO,65.45
2017-11-5,5,TV GLOBO,71.05
2018-7-21,7,SPOTIFY,14.95
2013-8-22,6,TV GLOBO,67.02
2021-5-11,5,SPOTIFY,13.52
2010-12-12,2,RÁDIOS AM/FM,54.59
2015-6-5,6,YOUTUBE,80.68
2010-10-1,6,SHOWS AO VIVO,87.16
2017-10-28,13,YOUTUBE,0.03
2018-7-2,2,TV GLOBO,14.93
2018-12-28,6,SPOTIFY,71.17
2014-8-1,11,SPOTIFY,68.34
2013-9-8,3,RÁDIOS AM/FM,6.29
2011-7-20,9,YOUTUBE,52.03
2011-4-28,8,SPOTIFY,19.96
2012-6-4,9,RÁDIOS AM/FM,22.28
2014-11-25,6,SPOTIFY,64.18
2016-1-4,7,SPOTIFY,4.38
2015-12-9,13,YOUTUBE,67.19
2016-8-10,3,SPOTIFY,64.19
2014-8-27,11,TV GLOBO,16.4
2018-6-7,6,SPOTIFY,53.54
2017-7-25,4,TV GLOBO,46.3
2016-10-27,7,SPOTIFY,9.3
2018-3-17,9,YOUTUBE,56.55
2021-3-9,7,TV GLOBO,64.61
2021-6-11,8,RÁDIOS AM/FM,88.32
2011-2-14,1,RÁDIOS AM/FM,46.71
2017-10-27,2,SPOTIFY,43.87
2013-9-20,13,RÁDIOS AM/FM,60.52
2020-5-2,7,RÁDIOS AM/FM,42.24
2016-2-1,5,SHOWS AO VIVO,99.76
2019-7-18,9,YOUTUBE,42.72
2017-1-20,13,RÁDIOS AM/FM,88.82
2019-6-10,9,RÁDIOS AM/FM,62.16
2017-2-9,1,SPOTIFY,55.2
2011-5-28,1,SHOWS AO VIVO,16.89
2021-6-18,3,SPOTIFY,50.04
2013-8-25,10,SHOWS AO VIVO,61.58
2020-10-17,8,SPOTIFY,85.92
2021-9-8,6,SHOWS AO VIVO,95.51
2015-6-27,4,YOUTUBE,1.48
2011-9-3,6,SHOWS AO VIVO,94.15
2013-6-25,12,SPOTIFY,96.96
2011-2-4,6,RÁDIOS AM/FM,9.8
2016-6-16,8,SPOTIFY,93.82
2012-2-28,9,SPOTIFY,19.71
2012-4-18,2,SPOTIFY,92.64
2010-1-8,7,SONORIZAÇÃO AMBIENTAL,71.86
2010-11-6,5,YOUTUBE,61.02
2017-10-10,2,SPOTIFY,21.18
2010-9-3,1,SONORIZAÇÃO AMBIENTAL,39.51
2010-11-15,8,RÁDIOS AM/FM,6.98
2012-6-11,13,YOUTUBE,25.37
2017-7-16,12,SHOWS AO VIVO,78.51
2015-4-20,11,YOUTUBE,7.72
2021-6-17,13,SPOTIFY,26.07
2019-12-2,9,SPOTIFY,69.06
2016-3-25,11,RÁDIOS AM/FM,70.99
2012-10-16,9,SHOWS AO VIVO,52.31
2014-5-20,10,SHOWS AO VIVO,70.53
2021-9-26,2,YOUTUBE,6.83
