data,cod_artista,fonte,valor_rendimento
2020-7-20,11,SPOTIFY,59.32
2012-2-11,6,SHOWS AO VIVO,46.14
2016-4-5,9,SPOTIFY,84.05
2019-6-6,1,SPOTIFY,44.35
2018-6-5,13,TV GLOBO,60.08
2016-11-2,3,SPOTIFY,54.47
2015-1-12,4,SPOTIFY,10.68
2012-4-12,10,SHOWS AO VIVO,86.37
2016-2-25,13,SPOTIFY,49.08
2010-5-21,5,SPOTIFY,17.99
2016-7-13,6,YOUTUBE,75.69
2017-3-6,5,SHOWS AO VIVO,90.52
2020-7-21,12,YOUTUBE,50.55
2014-2-8,11,SHOWS AO VIVO,39.22
2021-7-14,5,SPOTIFY,54.28
2012-3-27,8,TV GLOBO,62.25
2017-9-18,4,SPOTIFY,30.55
2017-4-28,8,RÁDIOS AM/FM,14.38
2013-1-11,3,SHOWS AO VIVO,64.51
2020-6-7,10,SHOWS AO VIVO,13.59
2018-8-18,5,RÁDIOS AM/FM,49.43
2018-11-13,8,YOUTUBE,85.03
2015-4-12,8,SPOTIFY,86.35
2019-3-14,9,YOUTUBE,64.14
2010-7-3,1,RÁDIOS AM/FM,2.18
2019-10-3,6,YOUTUBE,27.71
2019-5-14,12,SHOWS AO VIVO,74.21
2010-12-5,6,RÁDIOS AM/FM,50.11
2014-2-14,5,YOUTUBE,8.31
2020-11-28,4,SHOWS AO VIVO,0.27
2010-2-27,3,SPOTIFY,20.39
2010-3-10,2,RÁDIOS AM/FM,60.32
2019-8-18,1,SPOTIFY,15.9
2011-7-3,9,YOUTUBE,59.24
2020-2-3,4,RÁDIOS AM/FM,70.96
2015-12-19,13,SHOWS AO VIVO,31.41
2020-6-9,8,SHOWS AO VIVO,28.99
2014-8-19,2,YOUTUBE,49.89
2016-7-25,12,SHOWS AO VIVO,78.23
2014-6-19,5,SHOWS AO VIVO,89.92
2021-7-11,7,YOUTUBE,77.88
2010-10-23,10,SHOWS AO VIVO,14.49
2020-1-4,4,SONORIZAÇÃO AMBIENTAL,90.65
2019-9-18,5,YOUTUBE,4.94
2018-4-21,12,TV GLOBO,24.44
2016-2-27,11,TV GLOBO,98.56
2015-5-12,10,SHOWS AO VIVO,81.61
2014-9-24,5,SONORIZAÇÃO AMBIENTAL,82.42
2018-10-21,9,SPOTIFY,38.02
2012-4-13,6,TV GLOBO,50.98
2020-10-9,8,SPOTIFY,17.41
2021-2-27,4,SHOWS AO VIVO,83.64
2020-6-27,12,SHOWS AO VIVO,57.11
2012-4-15,4,SONORIZAÇÃO AMBIENTAL,56.34
2015-9-27,13,SHOWS AO VIVO,58.41
2012-8-14,13,SHOWS AO VIVO,64.02
2019-11-22,10,SHOWS AO VIVO,12.7
2016-9-6,9,SHOWS AO VIVO,88.62
2010-2-23,1,SPOTIFY,81.17
2012-5-16,7,SHOWS AO VIVO,98.99
2011-2-5,9,SPOTIFY,12.3
2011-5-25,8,SPOTIFY,29.26
2020-4-25,6,SPOTIFY,40.09
2015-11-28,5,SPOTIFY,71.2
2013-9-7,11,SPOTIFY,6.24
2011-8-25,10,SPOTIFY,38.08
2011-12-23,5,RÁDIOS AM/FM,25.14
