data,cod_artista,fonte,valor_rendimento
2011-6-26,13,SPOTIFY,67.87
2017-9-7,12,SHOWS AO VIVO,92.38
2014-2-26,7,YOUTUBE,88.23
2018-9-15,11,RÁDIOS AM/FM,20.2
2010-1-14,5,YOUTUBE,71.55
2020-2-11,7,SHOWS AO VIVO,31.65
2015-2-5,13,TV GLOBO,77.46
2014-4-28,10,SHOWS AO VIVO,44.88
2012-6-18,8,SHOWS AO VIVO,53.5
2011-10-15,1,SHOWS AO VIVO,82.55
2013-9-17,6,SPOTIFY,32.53
2017-10-3,1,SPOTIFY,3.03
2019-1-18,1,SONORIZAÇÃO AMBIENTAL,8.65
2016-2-11,13,SHOWS AO VIVO,13.13
2012-9-6,3,YOUTUBE,76.04
2020-8-11,1,RÁDIOS AM/FM,26.3
2010-8-8,8,YOUTUBE,9.77
2013-6-17,6,SPOTIFY,70.23
2017-5-22,5,SHOWS AO VIVO,0.27
2011-2-3,10,SPOTIFY,19.31
2018-5-9,9,TV GLOBO,41.47
2021-12-7,5,YOUTUBE,37.56
2021-5-26,2,SHOWS AO VIVO,39.75
2012-11-19,1,TV GLOBO,37.75
2011-8-24,4,SPOTIFY,92.53
2020-7-10,3,RÁDIOS AM/FM,56.49
2017-8-14,8,SPOTIFY,41.63
2014-7-11,4,RÁDIOS AM/FM,66.97
2016-4-13,6,SPOTIFY,95.3
2016-2-23,4,SHOWS AO VIVO,46.02
2010-2-3,5,YOUTUBE,45.98
2010-3-6,3,YOUTUBE,77.84
2012-10-13,12,SHOWS AO VIVO,79.24
2018-12-13,12,RÁDIOS AM/FM,65.18
2014-4-18,1,YOUTUBE,37.07
2021-7-3,5,TV GLOBO,47.9
2016-5-14,7,RÁDIOS AM/FM,21.68
2012-10-9,9,SPOTIFY,80.83
2010-10-20,4,SPOTIFY,83.8
2018-5-1,7,YOUTUBE,23.36
2017-11-12,12,SPOTIFY,64.39
2011-5-20,9,SPOTIFY,7.26
2018-2-10,2,SHOWS AO VIVO,55.21
2011-1-2,3,SPOTIFY,11.45
2020-7-25,1,SPOTIFY,69.64
2012-9-8,8,SHOWS AO VIVO,6.5
2014-2-10,8,SPOTIFY,14.36
2021-9-25,3,YOUTUBE,30.55
2012-12-10,5,TV GLOBO,37.6
2010-5-25,10,SHOWS AO VIVO,91.75
2013-1-11,10,SPOTIFY,15.19
2017-11-25,1,SHOWS AO VIVO,89.62
2015-11-10,7,SPOTIFY,37.9
2015-11-14,2,SPOTIFY,62.06
2019-5-9,12,RÁDIOS AM/FM,89.09
2017-5-26,2,SPOTIFY,97.72
2019-2-27,11,RÁDIOS AM/FM,17.86
2014-2-20,4,SPOTIFY,74.53
2013-3-22,7,RÁDIOS AM/FM,88.37
2012-7-22,12,SHOWS AO VIVO,80.34
2017-3-22,11,TV GLOBO,0.59
2014-6-11,3,TV GLOBO,23.49
2015-12-26,3,RÁDIOS AM/FM,39.23
2018-9-11,1,RÁDIOS AM/FM,18.45
2012-4-3,12,SPOTIFY,35.56
2018-11-12,13,SPOTIFY,47.55
2010-11-10,5,YOUTUBE,1.15
2014-4-1,7,SHOWS AO VIVO,60.68
2019-8-3,13,YOUTUBE,36.83
2021-10-21,3,SPOTIFY,92.35
2013-10-18,12,SHOWS AO VIVO,39.12
2011-6-9,12,SHOWS AO VIVO,65.54
2016-2-4,3,YOUTUBE,34.09
2017-11-3,7,SHOWS AO VIVO,18.51
2020-12-12,8,TV GLOBO,65.61
2012-4-24,8,SONORIZAÇÃO AMBIENTAL,11.98
2015-1-8,3,YOUTUBE,26.18
2019-4-2,13,YOUTUBE,29.0
2010-11-4,9,RÁDIOS AM/FM,85.7
2021-10-25,10,SHOWS AO VIVO,60.61
2021-12-26,4,SPOTIFY,62.07
2018-7-17,12,SPOTIFY,38.92
2010-4-26,4,YOUTUBE,33.25
2017-9-12,3,SPOTIFY,79.47
2013-9-6,13,SONORIZAÇÃO AMBIENTAL,97.51
2012-4-6,1,RÁDIOS AM/FM,82.43
2016-10-5,10,SHOWS AO VIVO,81.24
2011-12-8,12,YOUTUBE,26.74
2011-7-14,13,RÁDIOS AM/FM,12.52
2010-8-3,11,SPOTIFY,65.64
2020-3-25,2,SPOTIFY,44.67
2017-12-22,3,SHOWS AO VIVO,4.02
2019-2-9,13,RÁDIOS AM/FM,96.25
