data,cod_artista,fonte,valor_rendimento
2019-7-22,7,YOUTUBE,86.15
2021-9-3,12,SPOTIFY,64.1
2019-5-17,8,SHOWS AO VIVO,42.43
2014-12-25,8,SPOTIFY,23.7
2013-7-10,9,SPOTIFY,93.66
2014-7-22,7,RÁDIOS AM/FM,64.84
2013-8-2,8,SHOWS AO VIVO,0.92
2012-6-9,6,TV GLOBO,13.09
2019-3-19,11,TV GLOBO,65.57
2020-6-13,6,RÁDIOS AM/FM,73.35
2015-9-19,2,SHOWS AO VIVO,39.5
2015-2-23,5,SHOWS AO VIVO,70.29
2020-9-19,8,SPOTIFY,20.48
2010-5-4,5,SPOTIFY,24.69
2017-7-19,7,YOUTUBE,18.6
2016-8-11,13,SHOWS AO VIVO,26.82
2021-2-23,13,SHOWS AO VIVO,83.19
2013-3-20,9,SHOWS AO VIVO,22.87
2016-7-18,12,SHOWS AO VIVO,68.88
2010-2-27,5,TV GLOBO,95.93
2021-10-1,13,RÁDIOS AM/FM,70.42
2014-12-21,11,RÁDIOS AM/FM,14.16
2020-5-5,2,RÁDIOS AM/FM,90.19
2013-7-24,5,TV GLOBO,94.81
2016-9-16,13,YOUTUBE,11.36
2014-2-28,10,SHOWS AO VIVO,45.73
2012-3-7,6,RÁDIOS AM/FM,33.32
2010-11-8,4,SHOWS AO VIVO,5.69
2014-2-9,6,SHOWS AO VIVO,64.26
2013-9-11,2,SHOWS AO VIVO,99.12
2010-7-18,5,SHOWS AO VIVO,67.11
2021-5-28,6,SHOWS AO VIVO,85.04
2019-10-7,7,SHOWS AO VIVO,9.37
2018-10-9,13,SPOTIFY,36.72
2010-5-18,13,SHOWS AO VIVO,59.39
2015-1-12,7,YOUTUBE,69.55
2010-1-28,4,TV GLOBO,57.4
2010-11-19,7,TV GLOBO,55.71
2015-11-27,5,SHOWS AO VIVO,84.49
2020-2-4,9,SHOWS AO VIVO,38.05
2014-3-18,5,SPOTIFY,9.45
2018-5-22,10,SHOWS AO VIVO,73.07
2013-12-12,7,TV GLOBO,32.43
2017-9-16,13,RÁDIOS AM/FM,4.67
2013-12-4,13,SHOWS AO VIVO,74.66
2011-3-20,11,SPOTIFY,54.46
2021-5-23,11,SHOWS AO VIVO,70.9
2010-6-8,8,SPOTIFY,78.75
2016-4-11,12,SHOWS AO VIVO,25.71
2014-11-22,6,SPOTIFY,9.67
2020-2-27,4,RÁDIOS AM/FM,10.54
2014-7-14,8,SHOWS AO VIVO,90.57
2016-5-27,6,SHOWS AO VIVO,69.08
2013-9-6,10,SPOTIFY,32.79
2018-5-19,2,TV GLOBO,22.4
2019-10-28,5,TV GLOBO,49.48
2018-6-16,4,SHOWS AO VIVO,98.58
2010-10-26,9,RÁDIOS AM/FM,18.0
2021-1-2,13,SHOWS AO VIVO,20.02
2018-12-16,12,SHOWS AO VIVO,75.62
2015-9-24,13,SONORIZAÇÃO AMBIENTAL,67.25
2012-5-16,7,SHOWS AO VIVO,94.46
2010-9-26,1,SHOWS AO VIVO,46.3
2017-11-19,8,RÁDIOS AM/FM,85.09
2018-10-15,12,SHOWS AO VIVO,52.42
2016-10-11,4,YOUTUBE,29.88
2019-1-9,9,SPOTIFY,46.29
2019-1-8,10,SPOTIFY,81.29
2018-1-5,8,YOUTUBE,54.56
2019-7-1,7,YOUTUBE,38.04
2010-8-11,12,SPOTIFY,39.83
2014-4-14,13,TV GLOBO,9.93
2012-2-16,10,SHOWS AO VIVO,96.08
2019-3-21,8,SHOWS AO VIVO,70.89
2015-9-15,10,SHOWS AO VIVO,23.22
2016-7-24,13,SHOWS AO VIVO,27.11
2016-3-5,4,SPOTIFY,90.36
2012-5-5,12,RÁDIOS AM/FM,13.48
2011-11-21,8,SHOWS AO VIVO,43.87
2018-9-19,3,SPOTIFY,70.85
2012-8-8,12,YOUTUBE,26.53
2020-1-22,2,SPOTIFY,42.92
2015-5-5,11,SHOWS AO VIVO,69.21
2021-10-20,12,RÁDIOS AM/FM,66.83
2017-3-20,2,SONORIZAÇÃO AMBIENTAL,62.3
2012-12-21,11,SPOTIFY,26.75
2019-4-14,3,RÁDIOS AM/FM,16.53
2016-4-14,8,SHOWS AO VIVO,70.2
2014-12-13,13,SPOTIFY,8.01
2014-2-21,6,SHOWS AO VIVO,45.65
2014-1-22,4,SHOWS AO VIVO,59.59
2016-4-12,2,YOUTUBE,18.63
2015-8-8,5,SPOTIFY,7.52
2010-6-13,9,SHOWS AO VIVO,51.03
