data,cod_artista,fonte,valor_rendimento
2013-5-1,4,RÁDIOS AM/FM,9.74
2021-8-21,8,RÁDIOS AM/FM,40.51
2014-2-8,13,SPOTIFY,79.32
2011-8-18,8,YOUTUBE,66.75
2011-5-12,1,YOUTUBE,4.43
2014-12-6,12,SHOWS AO VIVO,34.49
2014-5-11,13,TV GLOBO,14.48
2012-9-27,2,TV GLOBO,60.61
2013-11-10,8,RÁDIOS AM/FM,32.91
2018-8-17,8,SPOTIFY,32.91
2011-5-1,3,YOUTUBE,49.02
2019-7-22,9,SONORIZAÇÃO AMBIENTAL,89.08
2019-9-18,12,TV GLOBO,89.92
2014-7-17,7,SPOTIFY,6.13
2013-3-12,8,RÁDIOS AM/FM,34.97
2012-5-25,4,RÁDIOS AM/FM,85.59
2014-11-23,10,SHOWS AO VIVO,87.45
2016-2-28,7,YOUTUBE,92.56
2013-10-8,1,SONORIZAÇÃO AMBIENTAL,24.86
2014-11-9,9,YOUTUBE,48.25
2018-5-22,6,SONORIZAÇÃO AMBIENTAL,48.4
2021-3-28,11,SHOWS AO VIVO,66.64
2014-2-24,1,YOUTUBE,18.91
2012-12-2,6,RÁDIOS AM/FM,95.46
2011-3-2,8,YOUTUBE,88.4
2016-5-21,12,SHOWS AO VIVO,55.53
2015-1-28,7,TV GLOBO,74.11
2018-12-16,5,RÁDIOS AM/FM,61.42
2012-8-8,9,SONORIZAÇÃO AMBIENTAL,58.23
2011-3-12,8,SPOTIFY,76.76
2016-11-4,5,RÁDIOS AM/FM,33.12
2016-10-2,4,RÁDIOS AM/FM,75.27
2016-2-9,3,SPOTIFY,19.54
2019-3-10,4,YOUTUBE,7.16
2016-4-12,8,YOUTUBE,23.48
2018-7-5,2,SHOWS AO VIVO,99.63
2010-2-24,10,SONORIZAÇÃO AMBIENTAL,29.47
2021-2-8,2,SPOTIFY,86.81
2021-8-10,2,YOUTUBE,13.46
2012-11-19,8,YOUTUBE,96.74
2019-10-21,6,RÁDIOS AM/FM,74.0
2013-6-24,5,RÁDIOS AM/FM,14.54
2018-6-13,12,SHOWS AO VIVO,88.06
