data,cod_artista,fonte,valor_rendimento
2016-4-9,2,SPOTIFY,33.27
2013-8-6,6,YOUTUBE,11.24
2015-12-26,7,SHOWS AO VIVO,59.15
2019-1-5,12,SHOWS AO VIVO,42.53
2016-4-23,6,SPOTIFY,36.8
2013-11-17,2,YOUTUBE,40.64
2010-7-5,8,SHOWS AO VIVO,85.66
2012-9-22,13,SHOWS AO VIVO,33.91
2011-5-4,1,RÁDIOS AM/FM,16.36
2010-9-5,1,SPOTIFY,99.22
2018-10-28,10,RÁDIOS AM/FM,0.42
2015-10-14,11,SPOTIFY,24.22
2015-11-14,1,SHOWS AO VIVO,89.73
2017-2-4,1,YOUTUBE,23.76
2021-11-16,9,SPOTIFY,6.36
2012-4-7,7,TV GLOBO,31.43
2018-5-23,5,SPOTIFY,35.92
2020-9-7,1,SHOWS AO VIVO,24.04
2012-10-12,12,SPOTIFY,89.22
2011-3-2,4,YOUTUBE,26.84
2017-3-13,6,TV GLOBO,99.3
2016-1-25,10,RÁDIOS AM/FM,60.25
2017-12-28,3,TV GLOBO,95.39
2017-2-21,3,SPOTIFY,5.65
2018-1-15,1,SHOWS AO VIVO,37.97
2020-3-6,6,TV GLOBO,74.63
2010-8-23,12,SHOWS AO VIVO,3.06
2016-12-2,5,RÁDIOS AM/FM,29.29
2010-11-8,2,SONORIZAÇÃO AMBIENTAL,97.41
2020-6-16,11,SHOWS AO VIVO,41.14
2017-9-22,9,SPOTIFY,9.0
2013-12-5,7,SPOTIFY,13.64
2021-2-14,8,SHOWS AO VIVO,88.88
2012-10-14,13,SPOTIFY,35.74
2020-5-22,10,SHOWS AO VIVO,73.87
2018-12-15,10,TV GLOBO,18.68
2021-9-9,8,SPOTIFY,83.32
2013-12-22,7,SHOWS AO VIVO,51.55
2012-7-16,2,SHOWS AO VIVO,65.48
2020-7-17,12,YOUTUBE,98.74
2019-1-15,3,SPOTIFY,96.83
2014-9-17,10,SHOWS AO VIVO,6.88
2010-10-21,13,YOUTUBE,66.05
2015-1-1,5,YOUTUBE,89.56
2021-7-9,11,TV GLOBO,19.58
2013-4-9,3,YOUTUBE,43.36
2012-9-23,8,SHOWS AO VIVO,40.88
2016-10-23,12,SPOTIFY,47.64
2010-5-19,7,TV GLOBO,7.49
2015-5-21,10,YOUTUBE,90.91
2018-4-17,11,SPOTIFY,19.41
2020-7-9,3,SHOWS AO VIVO,89.15
2010-11-8,2,SPOTIFY,78.31
2018-12-15,9,SPOTIFY,57.37
2015-4-24,13,TV GLOBO,97.12
2020-1-4,2,SPOTIFY,93.07
2021-8-10,10,RÁDIOS AM/FM,3.34
2010-1-12,7,SPOTIFY,32.93
2019-9-14,3,TV GLOBO,42.93
2011-8-17,4,SONORIZAÇÃO AMBIENTAL,16.09
2018-12-17,10,RÁDIOS AM/FM,51.53
2015-10-6,9,RÁDIOS AM/FM,0.97
