data,cod_artista,fonte,valor_rendimento
2010-7-26,10,YOUTUBE,9.03
2020-1-11,13,RÁDIOS AM/FM,1.47
2013-2-12,10,TV GLOBO,73.46
2021-11-21,1,SPOTIFY,16.55
2012-7-5,5,SONORIZAÇÃO AMBIENTAL,23.51
2019-8-27,5,SPOTIFY,12.56
2011-3-27,6,YOUTUBE,99.8
2010-6-12,7,YOUTUBE,92.58
2010-7-25,8,SPOTIFY,24.66
2021-7-8,12,SHOWS AO VIVO,83.95
2014-9-11,11,SPOTIFY,69.22
2020-10-21,2,YOUTUBE,70.02
2011-5-7,2,YOUTUBE,31.83
2013-2-1,11,SHOWS AO VIVO,92.99
2020-2-25,7,SPOTIFY,15.61
2015-12-10,1,YOUTUBE,89.0
2020-1-11,10,SPOTIFY,86.74
2020-5-15,12,YOUTUBE,43.83
2019-5-9,2,YOUTUBE,64.06
2013-12-13,8,SPOTIFY,9.22
2018-5-10,9,SHOWS AO VIVO,89.39
2013-10-13,4,SPOTIFY,0.33
2016-5-6,5,SPOTIFY,18.08
2012-1-4,3,TV GLOBO,93.79
2012-8-25,3,RÁDIOS AM/FM,18.38
2018-6-10,2,RÁDIOS AM/FM,32.94
2021-1-1,8,SHOWS AO VIVO,61.24
2019-9-24,1,TV GLOBO,40.84
2021-1-13,4,SHOWS AO VIVO,69.52
2010-7-20,10,SHOWS AO VIVO,48.0
2017-8-1,11,RÁDIOS AM/FM,7.65
2018-3-15,11,SHOWS AO VIVO,92.45
2021-12-19,9,SPOTIFY,92.28
2019-12-13,13,RÁDIOS AM/FM,47.88
2013-9-14,7,YOUTUBE,81.73
2012-5-2,5,TV GLOBO,32.33
2016-5-20,5,YOUTUBE,57.07
2011-7-23,8,RÁDIOS AM/FM,58.47
2012-2-12,10,TV GLOBO,72.38
2012-5-2,8,YOUTUBE,67.49
2018-1-13,5,RÁDIOS AM/FM,29.67
2020-1-24,12,SHOWS AO VIVO,32.03
2010-6-27,12,YOUTUBE,72.52
2017-12-13,9,SPOTIFY,19.38
2014-11-10,11,SHOWS AO VIVO,62.76
2018-10-26,7,YOUTUBE,64.55
2020-7-26,8,TV GLOBO,15.09
2014-1-27,6,SONORIZAÇÃO AMBIENTAL,15.07
2015-1-24,13,YOUTUBE,57.82
2013-4-1,10,SPOTIFY,27.65
2021-9-20,5,SHOWS AO VIVO,96.39
2017-11-26,9,YOUTUBE,12.16
2011-6-15,3,SPOTIFY,52.11
2021-7-6,8,YOUTUBE,43.53
2014-7-18,12,TV GLOBO,7.8
2018-1-10,7,SPOTIFY,0.1
2013-11-10,12,YOUTUBE,39.67
2017-10-19,4,SHOWS AO VIVO,32.96
2014-2-7,8,TV GLOBO,7.5
2021-7-18,4,RÁDIOS AM/FM,16.95
2021-12-12,1,SPOTIFY,92.83
2011-3-5,4,SPOTIFY,92.42
2013-11-27,3,YOUTUBE,30.01
2016-10-25,5,SPOTIFY,86.16
2017-10-20,10,SHOWS AO VIVO,26.59
2021-7-26,11,RÁDIOS AM/FM,36.04
2014-2-26,10,SHOWS AO VIVO,85.01
2012-11-14,7,TV GLOBO,79.78
2016-4-10,7,YOUTUBE,67.28
2018-5-15,3,TV GLOBO,96.78
2014-12-1,6,SPOTIFY,8.05
2013-9-17,5,YOUTUBE,7.16
2013-6-21,1,RÁDIOS AM/FM,85.35
2017-12-14,5,YOUTUBE,1.24
2018-8-21,12,SHOWS AO VIVO,83.99
2014-5-6,7,TV GLOBO,20.19
2019-12-23,3,SPOTIFY,30.94
2019-1-27,11,RÁDIOS AM/FM,40.78
2020-6-25,6,TV GLOBO,33.11
2018-6-26,6,YOUTUBE,85.98
2021-6-19,12,SHOWS AO VIVO,9.81
2019-8-9,4,RÁDIOS AM/FM,92.3
2010-2-28,1,RÁDIOS AM/FM,38.42
2020-1-28,5,SPOTIFY,27.95
2017-11-10,2,RÁDIOS AM/FM,10.02
2018-5-8,8,RÁDIOS AM/FM,2.45
2017-6-21,7,SPOTIFY,8.86
2018-10-8,8,TV GLOBO,75.18
2013-4-17,5,RÁDIOS AM/FM,41.79
2011-5-28,13,TV GLOBO,20.98
2016-10-25,6,SPOTIFY,95.62
2014-4-10,5,YOUTUBE,88.79
2021-10-9,5,TV GLOBO,61.69
2017-9-6,12,SPOTIFY,90.47
2014-8-14,10,SHOWS AO VIVO,65.68
2020-4-21,10,RÁDIOS AM/FM,75.55
2010-8-16,8,SPOTIFY,37.51
2016-9-1,10,SPOTIFY,23.11
2019-7-12,1,SHOWS AO VIVO,85.03
2014-1-1,3,SHOWS AO VIVO,50.54
2018-12-21,1,SPOTIFY,4.41
2014-1-14,8,SPOTIFY,80.96
2016-6-5,3,SHOWS AO VIVO,31.21
2010-6-15,2,SHOWS AO VIVO,60.39
2014-8-27,9,TV GLOBO,30.67
2011-10-23,9,SHOWS AO VIVO,71.51
2017-9-23,9,RÁDIOS AM/FM,90.84
2020-2-12,1,SPOTIFY,90.06
2021-4-8,12,RÁDIOS AM/FM,93.25
2011-2-28,9,SPOTIFY,40.61
2015-11-14,5,SHOWS AO VIVO,59.44
2021-9-7,6,TV GLOBO,99.53
2020-5-11,5,SPOTIFY,23.27
2021-6-10,11,YOUTUBE,2.07
2011-11-19,6,RÁDIOS AM/FM,20.09
