data,cod_artista,fonte,valor_rendimento
2010-6-15,3,RÁDIOS AM/FM,82.35
2013-10-23,3,SHOWS AO VIVO,72.96
2012-12-22,10,RÁDIOS AM/FM,4.03
2016-8-10,12,SPOTIFY,97.04
2016-12-16,11,YOUTUBE,56.15
2014-9-2,9,SHOWS AO VIVO,71.63
2018-1-26,3,RÁDIOS AM/FM,98.48
2013-6-17,7,SPOTIFY,56.64
2021-7-5,8,SPOTIFY,81.39
2019-2-2,12,SHOWS AO VIVO,40.24
2016-4-23,5,SHOWS AO VIVO,3.81
2020-3-6,8,SPOTIFY,27.74
2016-12-24,6,TV GLOBO,12.52
2012-2-1,13,YOUTUBE,9.32
2018-10-19,1,YOUTUBE,15.94
2013-8-19,4,SHOWS AO VIVO,60.54
2020-5-12,7,SPOTIFY,75.45
2019-4-20,12,SHOWS AO VIVO,39.44
2014-6-21,8,SHOWS AO VIVO,92.49
2017-5-25,7,SHOWS AO VIVO,37.89
2011-7-13,8,YOUTUBE,73.76
2020-9-14,12,YOUTUBE,82.38
2016-7-12,13,SPOTIFY,29.21
2019-10-14,13,RÁDIOS AM/FM,83.71
2012-8-23,5,SPOTIFY,45.34
2012-1-9,9,SPOTIFY,57.83
2021-4-19,1,SHOWS AO VIVO,69.32
2014-2-4,7,RÁDIOS AM/FM,45.64
2014-11-13,9,SPOTIFY,32.17
2020-8-27,6,SPOTIFY,62.79
2017-9-10,1,TV GLOBO,12.67
2012-1-17,12,RÁDIOS AM/FM,48.7
2012-3-14,12,YOUTUBE,98.18
2016-1-10,12,SPOTIFY,37.39
2015-1-16,2,SPOTIFY,77.62
2010-1-6,7,SONORIZAÇÃO AMBIENTAL,16.58
2018-4-21,1,SPOTIFY,58.1
2021-5-18,11,SPOTIFY,38.52
2018-2-11,4,SHOWS AO VIVO,40.94
2015-8-26,10,SPOTIFY,73.57
2019-4-18,12,RÁDIOS AM/FM,72.65
2015-7-25,12,SHOWS AO VIVO,3.04
2015-12-20,6,SPOTIFY,37.52
2011-5-6,9,YOUTUBE,2.63
2012-7-4,11,TV GLOBO,24.31
2018-4-13,5,RÁDIOS AM/FM,74.82
2015-6-1,8,SPOTIFY,47.46
2018-6-21,1,TV GLOBO,54.11
2021-4-22,8,SPOTIFY,68.63
2014-12-12,2,SHOWS AO VIVO,26.39
