data,cod_artista,fonte,valor_rendimento
2012-6-7,7,RÁDIOS AM/FM,86.4
2021-11-5,8,SPOTIFY,27.78
2011-6-6,11,SONORIZAÇÃO AMBIENTAL,0.42
2014-8-1,6,RÁDIOS AM/FM,34.86
2010-8-6,5,SHOWS AO VIVO,63.93
2020-10-4,6,SHOWS AO VIVO,80.55
2012-5-19,1,SPOTIFY,44.93
2021-6-26,7,SPOTIFY,69.25
2017-4-12,4,SPOTIFY,93.86
2017-1-17,9,YOUTUBE,66.76
2021-11-12,13,SPOTIFY,40.15
2021-6-23,7,TV GLOBO,42.54
2019-12-11,3,SPOTIFY,21.11
2015-12-7,11,SPOTIFY,84.04
2010-5-19,8,RÁDIOS AM/FM,2.65
2017-1-26,7,YOUTUBE,45.13
2020-10-1,12,SHOWS AO VIVO,93.57
2011-12-24,5,SPOTIFY,85.19
2015-11-26,13,RÁDIOS AM/FM,21.28
2010-5-8,12,SPOTIFY,79.58
2014-7-25,11,YOUTUBE,13.23
2010-3-18,2,SHOWS AO VIVO,62.5
2018-9-10,1,SONORIZAÇÃO AMBIENTAL,61.2
2015-10-7,2,YOUTUBE,73.12
2013-9-23,8,SPOTIFY,67.76
2018-7-7,7,SPOTIFY,52.44
2012-12-21,9,TV GLOBO,49.54
2020-9-25,3,YOUTUBE,88.27
2021-4-10,10,TV GLOBO,17.53
2013-3-25,7,RÁDIOS AM/FM,84.64
2010-10-16,10,SPOTIFY,12.75
2010-4-21,6,RÁDIOS AM/FM,47.95
2017-9-2,1,SHOWS AO VIVO,47.9
2016-10-4,4,SPOTIFY,10.75
2014-8-21,13,SPOTIFY,85.92
2019-2-24,10,RÁDIOS AM/FM,78.63
2019-8-24,4,SPOTIFY,14.0
2018-4-25,9,SPOTIFY,72.42
2015-10-4,5,SPOTIFY,8.53
2017-11-18,12,SPOTIFY,0.54
2019-4-10,4,SPOTIFY,9.5
2015-2-21,3,SPOTIFY,45.54
2019-6-24,4,SHOWS AO VIVO,19.16
2019-10-10,9,SONORIZAÇÃO AMBIENTAL,34.12
2011-4-2,11,SPOTIFY,33.17
2021-12-7,12,SONORIZAÇÃO AMBIENTAL,77.94
2018-2-16,5,SHOWS AO VIVO,9.79
2012-1-26,13,SHOWS AO VIVO,4.02
2010-12-18,2,SPOTIFY,77.47
2014-8-26,7,SPOTIFY,72.4
2012-7-24,5,RÁDIOS AM/FM,84.31
2016-2-20,2,YOUTUBE,11.37
2015-7-1,10,RÁDIOS AM/FM,51.61
2019-11-24,3,SHOWS AO VIVO,90.18
2013-3-12,3,RÁDIOS AM/FM,73.0
2014-10-3,6,SPOTIFY,62.65
2016-4-22,1,YOUTUBE,1.09
2015-12-6,3,RÁDIOS AM/FM,71.41
2013-7-9,9,SPOTIFY,13.19
2017-12-9,3,SPOTIFY,98.29
2013-9-19,2,TV GLOBO,0.65
2021-8-20,12,YOUTUBE,90.17
2017-8-9,7,TV GLOBO,4.98
2020-9-24,12,SHOWS AO VIVO,91.46
2015-1-24,3,SPOTIFY,96.27
2019-1-23,13,TV GLOBO,76.99
2011-3-24,7,SPOTIFY,47.43
2013-8-22,6,SPOTIFY,47.36
2013-6-6,9,SHOWS AO VIVO,27.13
2017-7-11,12,YOUTUBE,87.21
2020-6-5,5,SHOWS AO VIVO,62.39
2014-6-22,9,SPOTIFY,49.39
2021-2-21,5,SPOTIFY,79.7
2014-4-5,12,YOUTUBE,30.16
2016-1-2,4,YOUTUBE,71.43
2020-2-18,5,YOUTUBE,49.53
2015-8-4,13,SPOTIFY,53.73
2010-2-3,11,SPOTIFY,19.8
2012-9-11,5,RÁDIOS AM/FM,50.93
2011-5-26,8,SPOTIFY,8.71
2010-8-14,9,SPOTIFY,24.68
2019-2-9,11,SHOWS AO VIVO,18.17
2015-2-7,10,SPOTIFY,75.17
2016-2-9,10,SONORIZAÇÃO AMBIENTAL,85.8
2017-5-26,8,SPOTIFY,54.0
2017-10-24,13,TV GLOBO,59.44
2012-12-7,3,SHOWS AO VIVO,11.17
2011-4-1,9,TV GLOBO,13.94
2017-10-13,2,YOUTUBE,60.42
2011-6-7,8,SPOTIFY,3.16
2021-9-18,8,YOUTUBE,44.58
2014-6-14,12,SPOTIFY,26.64
2018-1-20,9,SPOTIFY,69.08
2014-6-26,13,TV GLOBO,9.66
2020-12-15,7,SPOTIFY,90.12
2011-1-21,4,SPOTIFY,45.34
2020-12-26,5,SPOTIFY,33.11
2013-7-20,9,TV GLOBO,83.46
2021-6-17,4,SPOTIFY,54.44
2019-1-4,5,SPOTIFY,93.35
2015-11-7,13,SPOTIFY,7.98
2014-11-15,11,SONORIZAÇÃO AMBIENTAL,69.55
2018-9-8,8,RÁDIOS AM/FM,82.53
2018-1-12,4,SHOWS AO VIVO,48.53
2012-10-22,7,RÁDIOS AM/FM,33.22
2015-8-13,13,SPOTIFY,79.45
2016-11-18,3,SHOWS AO VIVO,59.29
2018-8-16,10,RÁDIOS AM/FM,6.89
2015-4-22,12,SHOWS AO VIVO,77.51
2013-4-27,4,SPOTIFY,28.38
2015-4-15,4,SPOTIFY,7.77
2021-4-28,6,SPOTIFY,80.21
2016-3-21,7,SONORIZAÇÃO AMBIENTAL,62.32
2017-7-11,2,TV GLOBO,47.4
2015-12-25,1,SHOWS AO VIVO,26.98
2020-11-16,2,SPOTIFY,30.52
2021-7-8,6,YOUTUBE,43.72
2020-7-17,9,RÁDIOS AM/FM,59.46
2020-3-21,9,YOUTUBE,49.46
2018-5-6,10,SHOWS AO VIVO,45.76
2020-10-14,2,SPOTIFY,77.95
2021-11-16,1,YOUTUBE,64.44
2016-12-26,1,SPOTIFY,9.59
2016-7-4,6,SHOWS AO VIVO,24.63
2011-12-16,3,SHOWS AO VIVO,63.97
2014-8-28,10,SPOTIFY,20.58
2014-9-1,4,SPOTIFY,78.91
2014-6-18,5,RÁDIOS AM/FM,47.66
2013-10-24,12,SPOTIFY,92.89
2017-12-28,4,RÁDIOS AM/FM,42.0
2018-6-28,2,SONORIZAÇÃO AMBIENTAL,60.21
2013-3-14,10,YOUTUBE,87.0
2011-2-26,4,SHOWS AO VIVO,29.93
2021-4-21,5,RÁDIOS AM/FM,95.47
2016-9-15,13,SHOWS AO VIVO,41.35
2015-12-19,7,RÁDIOS AM/FM,31.7
2013-10-1,10,SHOWS AO VIVO,64.52
2020-11-20,8,SHOWS AO VIVO,4.07
2020-5-17,10,SHOWS AO VIVO,1.01
2011-2-11,2,RÁDIOS AM/FM,61.06
2011-2-22,13,SHOWS AO VIVO,83.44
2018-9-3,7,SONORIZAÇÃO AMBIENTAL,12.75
2014-4-18,8,TV GLOBO,52.65
2013-9-21,9,SHOWS AO VIVO,8.35
2020-7-13,5,SONORIZAÇÃO AMBIENTAL,77.89
2011-8-6,10,TV GLOBO,5.23
2019-3-8,1,SHOWS AO VIVO,22.04
2017-5-18,6,SONORIZAÇÃO AMBIENTAL,29.71
2021-7-7,1,SHOWS AO VIVO,5.17
2018-11-8,5,RÁDIOS AM/FM,47.5
2013-6-19,2,SPOTIFY,15.77
2011-8-24,7,TV GLOBO,96.43
2014-10-25,10,SPOTIFY,67.05
2019-7-7,9,RÁDIOS AM/FM,65.29
2017-1-7,8,SPOTIFY,54.72
2015-2-18,2,RÁDIOS AM/FM,3.02
2012-8-2,5,SONORIZAÇÃO AMBIENTAL,79.4
2021-9-12,2,SHOWS AO VIVO,74.72
2017-1-20,12,SHOWS AO VIVO,83.91
2021-2-11,13,SHOWS AO VIVO,39.3
2020-7-17,12,TV GLOBO,54.65
2021-2-10,1,RÁDIOS AM/FM,21.82
2012-3-5,1,SHOWS AO VIVO,80.48
2016-7-14,3,SHOWS AO VIVO,72.72
2020-6-24,11,TV GLOBO,1.96
2019-4-23,12,YOUTUBE,51.17
2013-2-13,3,SPOTIFY,79.89
2020-9-14,7,SPOTIFY,51.5
2013-10-3,9,SONORIZAÇÃO AMBIENTAL,85.74
2013-8-4,10,TV GLOBO,97.59
2021-1-6,6,SPOTIFY,38.48
2011-12-2,11,SPOTIFY,21.15
2014-3-26,2,SHOWS AO VIVO,33.26
2012-11-16,1,RÁDIOS AM/FM,4.39
2021-12-5,13,SPOTIFY,29.53
2012-6-12,1,SPOTIFY,67.63
2012-9-20,2,SPOTIFY,18.53
2015-1-12,10,SPOTIFY,17.87
2017-2-7,4,SPOTIFY,59.2
2020-10-24,11,SHOWS AO VIVO,48.77
2011-2-22,12,SHOWS AO VIVO,61.81
2020-12-13,7,TV GLOBO,27.37
2019-2-28,9,SHOWS AO VIVO,30.54
2020-10-12,1,SPOTIFY,79.56
2015-5-22,2,SHOWS AO VIVO,45.55
2010-7-9,10,SPOTIFY,45.12
2015-7-23,7,SPOTIFY,12.47
2021-12-9,1,SHOWS AO VIVO,90.76
2012-2-10,3,SHOWS AO VIVO,17.05
2012-2-11,8,TV GLOBO,61.58
2019-7-11,11,SHOWS AO VIVO,80.05
2013-6-16,12,RÁDIOS AM/FM,32.89
2019-12-8,5,SPOTIFY,58.18
2017-8-25,1,SONORIZAÇÃO AMBIENTAL,53.88
2013-1-21,9,SHOWS AO VIVO,70.14
2014-5-20,11,SHOWS AO VIVO,90.62
2015-12-18,3,RÁDIOS AM/FM,44.7
2016-3-8,1,TV GLOBO,23.9
2011-8-23,6,RÁDIOS AM/FM,55.42
2011-1-12,6,SONORIZAÇÃO AMBIENTAL,31.75
2013-5-15,11,SPOTIFY,82.71
2021-9-5,10,SPOTIFY,56.53
2019-11-24,3,TV GLOBO,90.1
2016-10-8,6,RÁDIOS AM/FM,51.01
2020-8-16,1,YOUTUBE,59.13
2010-1-27,12,YOUTUBE,31.37
2021-1-21,3,SHOWS AO VIVO,94.64
2020-9-26,2,YOUTUBE,4.6
2020-6-10,5,SPOTIFY,64.23
2013-9-19,3,SHOWS AO VIVO,67.74
2013-6-9,4,TV GLOBO,64.15
2011-12-8,6,SPOTIFY,98.01
2013-10-7,2,RÁDIOS AM/FM,32.08
2020-11-20,6,SPOTIFY,23.64
2015-8-25,13,SPOTIFY,20.88
2012-11-23,11,YOUTUBE,3.21
2014-5-17,11,SHOWS AO VIVO,43.36
2014-3-22,9,SPOTIFY,91.1
2018-11-28,8,SONORIZAÇÃO AMBIENTAL,56.95
2012-4-26,8,SHOWS AO VIVO,36.66
2016-2-25,2,SHOWS AO VIVO,44.77
2020-4-14,2,SHOWS AO VIVO,80.73
2011-4-1,4,SHOWS AO VIVO,97.41
2015-9-28,4,YOUTUBE,60.17
2020-5-21,11,SHOWS AO VIVO,22.93
2017-5-19,8,SPOTIFY,73.11
2015-1-8,11,SHOWS AO VIVO,39.59
2013-6-27,2,SHOWS AO VIVO,1.24
2018-5-20,11,SPOTIFY,1.81
2013-2-12,5,SPOTIFY,88.02
2018-8-12,2,SHOWS AO VIVO,17.94
2018-2-28,1,SHOWS AO VIVO,59.38
2014-9-13,13,YOUTUBE,57.36
2016-5-24,2,SPOTIFY,72.04
2017-8-1,13,YOUTUBE,89.67
2013-6-10,2,SPOTIFY,73.85
2012-2-2,2,RÁDIOS AM/FM,63.69
2018-3-18,13,SHOWS AO VIVO,39.06
2014-11-16,7,SPOTIFY,37.27
2016-4-3,4,SPOTIFY,3.3
2011-12-23,8,YOUTUBE,60.4
2017-4-1,7,SHOWS AO VIVO,75.64
2017-4-28,5,TV GLOBO,76.91
2012-6-7,4,RÁDIOS AM/FM,71.38
2017-11-24,1,RÁDIOS AM/FM,92.37
2016-5-17,7,SHOWS AO VIVO,83.5
2014-12-22,3,SHOWS AO VIVO,88.14
2021-1-7,13,TV GLOBO,18.68
2013-9-12,5,RÁDIOS AM/FM,89.52
2021-1-2,13,SPOTIFY,18.83
2017-10-4,12,SONORIZAÇÃO AMBIENTAL,32.68
2020-12-6,8,SONORIZAÇÃO AMBIENTAL,32.73
2013-8-13,12,SHOWS AO VIVO,63.99
2017-10-27,5,SPOTIFY,85.33
2017-4-21,13,YOUTUBE,49.54
2019-11-26,3,TV GLOBO,36.25
