data,cod_artista,fonte,valor_rendimento
01-01-2023,1,YOUTUBE,5000
01-01-2023,2,SPOTIFY,8000
01-01-2023,3,TV GLOBO,6000
01-01-2023,4,RÁDIOS AM/FM,7000
01-01-2023,5,SHOW AO VIVO,10000
01-02-2023,1,YOUTUBE,4500
01-02-2023,3,TV GLOBO,5500
01-02-2023,4,RÁDIOS AM/FM,6500
01-02-2023,5,SHOW AO VIVO,10500
01-03-2023,2,SPOTIFY,9000
01-03-2023,3,TV GLOBO,7000
01-03-2023,4,RÁDIOS AM/FM,8000
01-03-2023,5,SHOW AO VIVO,11000
01-04-2023,1,YOUTUBE,4800
01-04-2023,2,SPOTIFY,8500
01-04-2023,3,TV GLOBO,6500
01-04-2023,5,SHOW AO VIVO,10000
01-05-2023,2,SPOTIFY,8200
01-05-2023,3,TV GLOBO,6000
01-05-2023,4,RÁDIOS AM/FM,6800
01-05-2023,5,SHOW AO VIVO,9500
01-06-2023,1,YOUTUBE,4700
01-06-2023,3,TV GLOBO,5700
01-06-2023,4,RÁDIOS AM/FM,6300
01-06-2023,5,SHOW AO VIVO,9800
01-07-2023,2,SPOTIFY,8300
01-07-2023,3,TV GLOBO,6900
01-07-2023,4,RÁDIOS AM/FM,7200
01-07-2023,5,SHOW AO VIVO,10500
01-08-2023,2,SPOTIFY,8700
01-08-2023,3,TV GLOBO,7200
01-08-2023,4,RÁDIOS AM/FM,7500
01-08-2023,5,SHOW AO VIVO,10800
01-09-2023,1,YOUTUBE,4900
01-09-2023,2,SPOTIFY,9000
01-09-2023,3,TV GLOBO,7100
01-09-2023,5,SHOW AO VIVO,10000
01-10-2023,2,SPOTIFY,8500
01-10-2023,3,TV GLOBO,6800
01-10-2023,4,RÁDIOS AM/FM,6700
01-10-2023,5,SHOW AO VIVO,9600
01-11-2023,1,YOUTUBE,4600
01-11-2023,3,TV GLOBO,5900
01-11-2023,4,RÁDIOS AM/FM,6400
01-11-2023,5,SHOW AO VIVO,9700
01-12-2023,2,SPOTIFY,8800
01-12-2023,3,TV GLOBO,7300
01-12-2023,4,RÁDIOS AM/FM,7600
01-12-2023,5,SHOW AO VIVO,11000
01-01-2024,1,YOUTUBE,5000
01-01-2024,2,SPOTIFY,8100
01-01-2024,3,TV GLOBO,6200
01-01-2024,4,RÁDIOS AM/FM,7100
01-01-2024,5,SHOW AO VIVO,10000
01-02-2024,1,YOUTUBE,4800.50
01-02-2024,3,TV GLOBO,5500.75
01-02-2024,4,RÁDIOS AM/FM,6300.25
01-02-2024,5,SHOW AO VIVO,10850.80
01-03-2024,2,SPOTIFY,9200.35
01-03-2024,3,TV GLOBO,7100.60
01-03-2024,4,RÁDIOS AM/FM,8200.45
01-03-2024,5,SHOW AO VIVO,11200.70
01-04-2024,1,YOUTUBE,4600.90
01-04-2024,2,SPOTIFY,8650.25
01-04-2024,3,TV GLOBO,6800.30
01-04-2024,5,SHOW AO VIVO,10250.95
01-05-2024,2,SPOTIFY,8400.80
01-05-2024,3,TV GLOBO,6200.50
01-05-2024,4,RÁDIOS AM/FM,6900.20
01-05-2024,5,SHOW AO VIVO,9700.10
01-06-2024,1,YOUTUBE,4750.25
01-06-2024,3,TV GLOBO,5800.45
01-06-2024,4,RÁDIOS AM/FM,6400.70
01-06-2024,5,SHOW AO VIVO,9850.30
01-07-2024,2,SPOTIFY,8350.40
01-07-2024,3,TV GLOBO,6950.25
01-07-2024,4,RÁDIOS AM/FM,7250.15
01-07-2024,5,SHOW AO VIVO,10600.20
01-08-2024,2,SPOTIFY,8750.90
01-08-2024,3,TV GLOBO,7200.70
01-08-2024,4,RÁDIOS AM/FM,7550.55
01-08-2024,5,SHOW AO VIVO,10950.85
01-09-2024,1,YOUTUBE,4950.65
01-09-2024,2,SPOTIFY,9100.75
01-09-2024,3,TV GLOBO,7150.80
01-09-2024,5,SHOW AO VIVO,10100.45
01-10-2024,2,SPOTIFY,8600.30
01-10-2024,3,TV GLOBO,6900.40
01-10-2024,4,RÁDIOS AM/FM,6750.50
01-10-2024,5,SHOW AO VIVO,9650.75
